id_voto,id_proyecto,proyecto,dependencia,comuna_id,comuna,perfil_territorial,canal,dispositivo,latencia_ms,estado,timestamp_voto
V-0002339,PP-633,Aulas digitales,Educacion,10,La Candelaria,centro,movil,ios,320,VALIDO,2026-04-15T12:51:19
V-0006886,PP-633,Aulas digitales,Educacion,11,Laureles-Estadio,centro_sur,movil,android,217,VALIDO,2026-04-15T09:15:17
V-0005861,PP-704,Mejoramiento de parques,Infraestructura,3,Manrique,ladera_norte,web,tablet,736,VALIDO,2026-04-15T15:54:43
V-0006610,PP-633,Aulas digitales,Educacion,10,La Candelaria,centro,punto_fisico,terminal,1447,VALIDO,2026-04-15T10:08:04
V-0000677,PP-704,Mejoramiento de parques,Infraestructura,70,Altavista,rural,web,tablet,418,VALIDO,2026-04-15T09:02:41
V-0000133,PP-704,Mejoramiento de parques,Infraestructura,11,Laureles-Estadio,centro_sur,kiosko,terminal,1457,VALIDO,2026-04-15T15:39:12
V-0001508,PP-205,Huertas urbanas,Medio Ambiente,1,Popular,ladera_norte,movil,android,456,VALIDO,2026-04-15T13:26:32
V-0005107,PP-318,Ciclorutas seguras,Movilidad,2,Santa Cruz,ladera_norte,punto_fisico,terminal,1339,VALIDO,2026-04-15T14:44:01
V-0002099,PP-205,Huertas urbanas,Medio Ambiente,14,El Poblado,sur,web,tablet,413,VALIDO,2026-04-15T14:19:50
V-0003387,PP-205,Huertas urbanas,Medio Ambiente,14,El Poblado,sur,movil,android,314,VALIDO,2026-04-15T13:42:42
V-0003860,PP-205,Huertas urbanas,Medio Ambiente,3,Manrique,ladera_norte,punto_fisico,terminal,1445,VALIDO,2026-04-15T10:09:20
V-0001941,PP-633,Aulas digitales,Educacion,5,Castilla,valle,movil,android,542,VALIDO,2026-04-15T13:19:34
V-0000394,PP-101,Bibliotecas barriales,Cultura,8,Villa Hermosa,ladera_oriente,punto_fisico,terminal,1338,VALIDO,2026-04-15T12:00:08
V-0001624,PP-101,Bibliotecas barriales,Cultura,11,Laureles-Estadio,centro_sur,web,tablet,412,VALIDO,2026-04-15T09:59:42
V-0005923,PP-101,Bibliotecas barriales,Cultura,15,Guayabal,sur,punto_fisico,terminal,1509,INVALIDO,2026-04-15T09:27:55
V-0004303,PP-101,Bibliotecas barriales,Cultura,16,Belen,sur,web,tablet,451,VALIDO,2026-04-15T16:12:14
V-0007426,PP-633,Aulas digitales,Educacion,3,Manrique,ladera_norte,web,desktop,365,VALIDO,2026-04-15T09:11:02
V-0002313,PP-318,Ciclorutas seguras,Movilidad,6,Doce de Octubre,ladera_noroccidente,movil,ios,337,VALIDO,2026-04-15T11:01:54
V-0000102,PP-422,Escuelas deportivas,INDER,14,El Poblado,sur,movil,android,427,INVALIDO,2026-04-15T12:52:09
V-0007161,PP-422,Escuelas deportivas,INDER,10,La Candelaria,centro,web,desktop,393,VALIDO,2026-04-15T11:28:34
V-0002003,PP-101,Bibliotecas barriales,Cultura,14,El Poblado,sur,movil,ios,359,VALIDO,2026-04-15T10:42:55
V-0006681,PP-205,Huertas urbanas,Medio Ambiente,11,Laureles-Estadio,centro_sur,movil,ios,537,VALIDO,2026-04-15T11:11:15
V-0006763,PP-704,Mejoramiento de parques,Infraestructura,13,San Javier,ladera_occidente,movil,android,479,VALIDO,2026-04-15T10:06:28
V-0003208,PP-633,Aulas digitales,Educacion,13,San Javier,ladera_occidente,web,desktop,740,VALIDO,2026-04-15T12:48:13
V-0003129,PP-205,Huertas urbanas,Medio Ambiente,8,Villa Hermosa,ladera_oriente,web,desktop,602,VALIDO,2026-04-15T14:24:57
V-0005841,PP-633,Aulas digitales,Educacion,5,Castilla,valle,kiosko,terminal,1677,VALIDO,2026-04-15T14:28:13
V-0002139,PP-101,Bibliotecas barriales,Cultura,4,Aranjuez,valle,kiosko,terminal,1609,VALIDO,2026-04-15T16:57:09
V-0005350,PP-101,Bibliotecas barriales,Cultura,4,Aranjuez,valle,movil,android,522,VALIDO,2026-04-15T14:56:09
